lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
58400,0,5,5,0,0,0,0,10,10,5,16,22,0,4,4,0,9,9,0,18,18,0,15,15,0,4,4,0,12,12,0,7,8,0,3,3,0,5,5
58470,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,4,3,0,3,3,0,5,4,0,6,4,0,5,0,3,6,0,0,0,0,5,9
58510,0,94,91,15,204,212,16,400,413,14,790,805,19,719,738,13,673,688,30,768,795,20,912,925,22,976,998,44,1597,1642,35,1758,1793,23,976,994,66,3787,3855
58540,0,0,0,0,3,3,0,10,10,0,9,14,0,4,4,0,19,22,0,16,16,0,20,20,0,19,19,5,31,33,0,23,26,0,20,20,0,59,62
58570,7,73,77,0,159,161,13,327,342,6,599,610,8,496,499,7,580,584,5,614,623,15,843,854,9,878,885,18,1576,1599,22,1739,1770,17,975,986,59,5133,5201
58610,0,8,7,0,14,16,0,16,13,0,67,68,0,40,41,0,60,59,0,45,45,5,54,56,4,36,35,3,73,74,3,57,66,0,40,43,0,73,73
58680,0,0,0,0,3,3,0,3,4,0,5,5,0,3,3,0,11,11,0,16,16,0,9,9,0,8,8,0,17,18,0,20,23,0,7,7,0,35,32
58760,9,306,318,29,628,662,32,1169,1199,78,2899,2973,77,2383,2458,99,3458,3558,109,3705,3809,99,4352,4445,117,4803,4923,192,8048,8246,200,8557,8751,128,6075,6208,318,14870,15195
58820,0,20,20,0,29,29,0,45,52,3,113,119,3,69,71,0,125,123,3,101,109,7,97,104,0,87,91,7,135,142,3,141,147,8,81,90,18,218,239
58890,0,0,0,0,8,8,0,0,0,4,19,19,0,13,8,0,21,22,0,15,15,0,33,34,0,19,19,0,28,31,3,24,28,0,6,6,0,45,45
59030,0,0,0,0,4,4,0,0,0,0,11,9,0,0,5,0,9,9,0,6,6,0,9,9,0,9,9,0,7,7,0,3,6,0,8,8,0,10,10
59100,0,4,4,0,0,0,0,3,3,0,25,25,0,5,5,0,14,14,3,20,24,0,20,20,0,19,19,0,29,29,3,15,17,0,15,19,0,20,20
59170,0,0,0,0,0,0,0,4,4,0,25,25,0,11,11,0,27,29,0,22,22,0,19,18,0,30,35,4,48,48,0,38,39,0,27,27,0,74,71
